AMPsuite Statement for On The Way Records,,,,,,,,,,,,,,,,,
Period 2024-10-01 to 2024-10-31,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
This Period: ,,,£ 123.42,,,,,,,,,,,,,,
Bought Forward: ,,,£ 12.58,,,,,,,,,,,,,,
PAYABLE: ,,,£ 136.01,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
You are due a payment of £ 136.01,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Period From,Period To,Transaction Date,Distributor,UPC,Cat. No.,ISRC,Label,Release Title,Track Title,Mix Name,Artist,Content Type,Delivery Method,Territory,Suitebeats Comp.,Quantity,Revenue
2024-09-01,2024-09-30,,YouTube (Subscription),723277739021,,CA5KR2489986,On The Way Records,,Iab,,"Advanced, jeonghyeon",Track,Stream,CA,No,14,0.099619
2024-09-01,2024-09-30,,YouTube (Subscription),795397783840,,CA5KR2351506,On The Way Records,,Ready or Not,,Madzi,Track,Stream,CA,No,1,0
2024-09-01,2024-09-30,,YouTube (Subscription),723277627861,,CA5KR2474111,On The Way Records,,Your Mind,,DJ Nayr,Track,Stream,CA,No,1,0.007115
2024-09-01,2024-09-30,,YouTube (Subscription),,,GXBNP2427523,On The Way Records,,Angels,,"Naffe, Flare (BR)",Track,Stream,CH,No,1,0.005234
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,CH,No,2,0
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,CH,No,3,0.014845
2024-09-01,2024-09-30,,YouTube (Subscription),5063544168891,,GXBNP2427518,On The Way Records,,Personal,,"WHOWHENWHY, Rise Of The JellyFish",Track,Stream,CH,No,1,0.007027
2024-09-01,2024-09-30,,YouTube (Subscription),723277191799,,CA5KR2399157,On The Way Records,,Click Clack,,SPLITZ,Track,Stream,CH,No,1,0.013628
2024-09-01,2024-09-30,,YouTube (Subscription),723277728353,,CA5KR2488300,On The Way Records,,You Make Me Feel,,"Brannco, Sevenkey, Anne Mulcahy",Track,Stream,CH,No,1,0.013628
2024-09-01,2024-09-30,,YouTube (Subscription),795397938691,,CA5KR2370827,On The Way Records,,Call Me,,Hedclem,Track,Stream,CH,No,1,0.013628
